,Zip Code,2019 Total Units,2019 Number Owned,2019 Number Rented
1,76501,6293,3888,2405
2,76502,15369,10396,4973
3,76504,9107,3574,5533
4,76511,641,494,147
5,76513,13669,9180,4489
6,76518,561,466,95
7,76519,145,134,11
8,76520,2833,1879,954
9,76522,13651,7859,5792
10,76524,1113,995,118
11,76525,438,335,103
12,76527,1007,669,338
13,76528,6256,4409,1847
14,76530,675,530,145
15,76534,1014,751,263
16,76537,1814,1439,375
17,76538,360,242,118
18,76539,3182,2850,332
19,76541,7564,2085,5479
20,76542,18194,10066,8128
21,76543,11847,4314,7533
22,76544,3319,70,3249
23,76548,10234,6268,3966
24,76549,17895,8737,9158
25,76550,4956,3583,1373
26,76554,749,534,215
27,76556,591,515,76
28,76557,1874,1564,310
29,76559,2128,1226,902
30,76561,372,283,89
31,76566,98,91,7
32,76567,3556,2365,1191
33,76569,812,584,228
34,76570,868,671,197
35,76571,2933,2428,505
36,76574,6356,4322,2034
37,76577,1214,938,276
38,76578,433,358,75
39,76579,1586,1202,384
40,76624,727,582,145
41,76630,472,426,46
42,76632,588,466,122
43,76633,1793,1614,179
44,76638,1036,913,123
45,76640,1222,836,386
46,76643,5425,3962,1463
47,76655,2921,2446,475
48,76656,712,570,142
49,76657,3379,2438,941
50,76661,2081,1183,898
51,76664,1214,876,338
52,76680,108,108,0
53,76682,1015,772,243
54,76685,32,15,17
55,76691,2360,1823,537
56,76701,706,156,550
57,76704,3140,1131,2009
58,76705,10632,6291,4341
59,76706,13310,5269,8041
60,76707,5225,2377,2848
61,76708,9740,6088,3652
62,76710,10814,5249,5565
63,76711,3470,1790,1680
64,76712,10007,7137,2870
65,76798,0,0,0
66,76831,0,0,0
67,76853,530,398,132
68,76885,71,48,23
69,77853,439,368,71
70,78602,9315,7282,2033
71,78605,1966,1693,273
72,78606,2031,1575,456
73,78607,57,47,10
74,78608,202,157,45
75,78609,825,633,192
76,78610,12584,9485,3099
77,78611,4468,3432,1036
78,78612,3893,3210,683
79,78613,26937,18709,8228
80,78615,331,257,74
81,78617,6790,5280,1510
82,78618,130,111,19
83,78619,1532,1343,189
84,78620,6107,5249,858
85,78621,6966,5299,1667
86,78624,9036,6419,2617
87,78626,11129,7422,3707
88,78628,12333,8830,3503
89,78631,1061,930,131
90,78633,11966,10893,1073
91,78634,10403,8580,1823
92,78635,150,119,31
93,78636,1530,1143,387
94,78639,3389,2453,936
95,78640,18428,12991,5437
96,78641,21929,17744,4185
97,78642,3812,3061,751
98,78643,2301,1806,495
99,78645,4550,3796,754
100,78650,535,414,121
101,78652,2138,1422,716
102,78653,7270,5997,1273
103,78654,7082,5044,2038
104,78657,2720,2290,430
105,78659,942,806,136
106,78660,30885,22871,8014
107,78662,772,601,171
108,78663,354,302,52
109,78664,20606,11385,9221
110,78665,14791,10429,4362
111,78666,29054,11368,17686
112,78669,4667,4178,489
113,78671,323,188,135
114,78672,611,573,38
115,78675,150,127,23
116,78676,5312,4441,871
117,78681,17448,13305,4143
118,78701,6395,2127,4268
119,78702,9713,4104,5609
120,78703,9545,5213,4332
121,78704,25071,8938,16133
122,78705,8873,875,7998
123,78712,0,0,0
124,78717,10552,6061,4491
125,78719,428,351,77
126,78721,4208,2222,1986
127,78722,3260,1432,1828
128,78723,13527,6242,7285
129,78724,6776,4407,2369
130,78725,2775,2309,466
131,78726,5877,2427,3450
132,78727,13557,6391,7166
133,78729,11898,5090,6808
134,78730,4059,2451,1608
135,78731,12537,7270,5267
136,78732,5867,4602,1265
137,78733,2932,2612,320
138,78734,7751,6334,1417
139,78735,7609,4001,3608
140,78736,3678,2759,919
141,78737,5621,5188,433
142,78738,6216,4477,1739
143,78739,6695,6366,329
144,78741,21664,3388,18276
145,78742,271,168,103
146,78744,15493,6727,8766
147,78745,26756,12379,14377
148,78746,10894,7562,3332
149,78747,6971,5312,1659
150,78748,20239,12294,7945
151,78749,15428,9837,5591
152,78750,11858,7461,4397
153,78751,7911,2381,5530
154,78752,8484,2179,6305
155,78753,20552,7306,13246
156,78754,8816,4859,3957
157,78756,4339,1883,2456
158,78757,10937,6012,4925
159,78758,20844,5823,15021
160,78759,20671,9572,11099
161,78942,2965,2098,867
162,78946,458,360,98
163,78947,1732,1550,182
164,78948,268,248,20
165,78953,377,304,73
