,Zip Code,2021 Total Units,2021 Number Owned,2021 Number Rented
1,76501,6595,4117,2478
2,76502,16488,11066,5422
3,76504,9722,3255,6467
4,76511,872,684,188
5,76513,14535,9580,4955
6,76518,522,390,132
7,76519,127,127,0
8,76520,2815,1928,887
9,76522,14682,9063,5619
10,76524,1292,1026,266
11,76525,461,348,113
12,76527,1583,1047,536
13,76528,6762,4816,1946
14,76530,966,782,184
15,76534,1108,887,221
16,76537,3474,2820,654
17,76538,471,410,61
18,76539,3189,2895,294
19,76541,7908,1959,5949
20,76542,18486,10823,7663
21,76543,12893,4932,7961
22,76544,3291,43,3248
23,76548,11250,6249,5001
24,76549,18619,9235,9384
25,76550,5097,3783,1314
26,76554,840,612,228
27,76556,716,641,75
28,76557,2089,1623,466
29,76559,2369,1537,832
30,76561,442,329,113
31,76566,125,121,4
32,76567,3717,2637,1080
33,76569,894,782,112
34,76570,904,714,190
35,76571,3394,2882,512
36,76574,7438,5370,2068
37,76577,1255,969,286
38,76578,544,425,119
39,76579,2086,1383,703
40,76624,876,773,103
41,76630,664,589,75
42,76632,534,424,110
43,76633,1989,1884,105
44,76638,1066,983,83
45,76640,1136,829,307
46,76643,5655,3840,1815
47,76655,2946,2580,366
48,76656,860,658,202
49,76657,4013,2997,1016
50,76661,2145,1337,808
51,76664,1280,934,346
52,76680,34,34,0
53,76682,1077,889,188
54,76685,28,28,0
55,76691,2427,1904,523
56,76701,759,148,611
57,76704,3287,1037,2250
58,76705,11109,6232,4877
59,76706,14079,5575,8504
60,76707,5808,3013,2795
61,76708,9508,5967,3541
62,76710,10705,5287,5418
63,76711,3894,2030,1864
64,76712,10264,7056,3208
65,76798,0,0,0
66,76831,0,0,0
67,76853,538,404,134
68,76885,52,33,19
69,77853,471,384,87
70,78602,11077,8295,2782
71,78605,2588,2350,238
72,78606,2621,2043,578
73,78607,67,59,8
74,78608,114,114,0
75,78609,841,679,162
76,78610,14937,11824,3113
77,78611,4728,3801,927
78,78612,5655,4761,894
79,78613,32007,21325,10682
80,78615,523,386,137
81,78617,7662,6315,1347
82,78618,129,108,21
83,78619,2159,1952,207
84,78620,6538,5583,955
85,78621,8103,6628,1475
86,78624,9794,6828,2966
87,78626,12337,7988,4349
88,78628,14334,10992,3342
89,78631,1018,854,164
90,78633,12911,11904,1007
91,78634,13271,10698,2573
92,78635,104,54,50
93,78636,1613,1137,476
94,78639,3291,2526,765
95,78640,21074,14976,6098
96,78641,26921,21800,5121
97,78642,6010,5048,962
98,78643,2714,2090,624
99,78645,6099,5270,829
100,78650,781,692,89
101,78652,1632,1440,192
102,78653,8868,7793,1075
103,78654,7242,5192,2050
104,78657,3018,2616,402
105,78659,1151,1066,85
106,78660,37699,27468,10231
107,78662,1074,824,250
108,78663,291,274,17
109,78664,22089,12166,9923
110,78665,21317,14305,7012
111,78666,31811,11253,20558
112,78669,4097,3650,447
113,78671,334,213,121
114,78672,455,432,23
115,78675,92,78,14
116,78676,6473,5181,1292
117,78681,19661,14626,5035
118,78701,6096,2848,3248
119,78702,11093,4829,6264
120,78703,10865,5428,5437
121,78704,26619,8358,18261
122,78705,8910,812,8098
123,78712,0,0,0
124,78717,12736,7268,5468
125,78719,588,505,83
126,78721,4130,2213,1917
127,78722,3048,1461,1587
128,78723,14496,7060,7436
129,78724,7611,5099,2512
130,78725,3503,3074,429
131,78726,5769,2582,3187
132,78727,13304,6071,7233
133,78729,14329,6085,8244
134,78730,3997,2518,1479
135,78731,13148,7085,6063
136,78732,7102,5200,1902
137,78733,3076,2767,309
138,78734,9164,7436,1728
139,78735,8644,4213,4431
140,78736,3854,2672,1182
141,78737,7610,6794,816
142,78738,10467,8112,2355
143,78739,6574,6092,482
144,78741,21432,3946,17486
145,78742,307,202,105
146,78744,17126,8545,8581
147,78745,28447,13477,14970
148,78746,10661,7252,3409
149,78747,7143,5736,1407
150,78748,22407,12506,9901
151,78749,15372,9818,5554
152,78750,11634,7262,4372
153,78751,8550,1944,6606
154,78752,9755,2020,7735
155,78753,22306,7786,14520
156,78754,10990,6829,4161
157,78756,4389,1948,2441
158,78757,11082,6594,4488
159,78758,22641,5939,16702
160,78759,21605,10142,11463
161,78942,3245,2366,879
162,78946,381,303,78
163,78947,1683,1482,201
164,78948,262,186,76
165,78953,508,322,186
